name,email,position,phone,store_id
Lester Ware,augue.malesuada.malesuada@odio.edu,department manager,0543345,1
Jerry Marks,a.dui.Cras@faucibusorci.com,senior manager,24600,2
Brandon Cherry,eget.odio@euismod.edu,department manager,0543345,10
Gavin Prince,luctus.felis.purus@adipiscingligulaAenean.com,senior manager,24600,1
Emerson Keller,at@Maecenasiaculis.org,department manager,0543345,7
Wallace Thornton,diam@tortorInteger.edu,senior manager,24600,4
Quinlan Hansen,odio.Nam@nonummyac.net,senior manager,24600,5
Carlos Sweet,dictum@in.edu,manager,24600,2
Jonas Lynn,fringilla.purus.mauris@fringillaestMauris.co.uk,department manager,0543345,6
Murphy Pugh,tempor.est@ultriciesornareelit.net,senior manager,24600,6
Beau Gillespie,parturient.montes@posuereenimnisl.org,department manager,0543345,5
Yasir Gates,nec.tempus@convalliserateget.net,department manager,0543345,9
Vance Goff,facilisi@lacusMaurisnon.org,senior manager,24600,6
Jared Garza,et.eros@lacinia.ca,manager,24600,3
Wyatt French,Morbi@Proin.net,manager,24600,1
Neville Valenzuela,placerat@sitamet.org,senior manager,24600,7
Brendan Gibbs,diam@nonummyFusce.edu,manager,24600,4
Linus Tucker,mi.fringilla.mi@nisiAeneaneget.org,manager,24600,11
Elvis Bruce,ac.nulla.In@odiotristique.co.uk,department manager,0543345,3
Barclay Fuentes,bibendum.fermentum@Duismienim.com,manager,24600,10
Mason Whitehead,inceptos@metusurnaconvallis.co.uk,department manager,24600,10
Damian Strickland,dignissim.Maecenas.ornare@risusQuisquelibero.org,department manager,0543345,8
Gareth Rush,est@quamvelsapien.org,manager,24600,2
Kamal Vincent,magna.Nam@orciUt.com,manager,24600,7
Bert Richardson,morbi.tristique@sed.co.uk,manager,24600,9
Gareth Beasley,rutrum.urna@liberoIntegerin.org,department manager,0543345,4
Chester Knox,magna.Sed@dapibusquam.com,manager,24600,1
Todd Maldonado,eu@dolorNullasemper.net,department manager,0543345,1
